DATEREALISATION,JOUR_SEMAINE,NUM_SEMAINE,NUM_MOIS,ANNEE,CENTRE,CAT_ACTE,CAT_ACTE_COUNT,SUM_PRECISION
2015-01-15,4,3,1,15,1,6,5,1
2015-01-16,5,3,1,15,0,0,5,2
2015-01-16,5,3,1,15,0,1,9,3
2015-01-16,5,3,1,15,0,2,9,7
2015-01-16,5,3,1,15,0,3,3,0
2015-01-16,5,3,1,15,0,4,5,3
2015-01-16,5,3,1,15,0,5,1,0
2015-01-16,5,3,1,15,0,6,5,0
2015-01-16,5,3,1,15,1,0,7,3
2015-01-16,5,3,1,15,1,1,15,12
2015-01-16,5,3,1,15,1,2,20,19
2015-01-16,5,3,1,15,1,3,15,8
2015-01-16,5,3,1,15,1,4,0,0
2015-01-16,5,3,1,15,1,5,8,1
2015-01-16,5,3,1,15,1,6,13,2
2015-01-19,1,4,1,15,0,0,0,0
2015-01-19,1,4,1,15,0,1,0,0
2015-01-19,1,4,1,15,0,2,1,1
2015-01-19,1,4,1,15,0,3,0,0
2015-01-19,1,4,1,15,0,4,0,0
2015-01-19,1,4,1,15,0,5,0,0
2015-01-19,1,4,1,15,0,6,0,0
2015-01-19,1,4,1,15,1,0,1,1
2015-01-19,1,4,1,15,1,1,3,0
2015-01-19,1,4,1,15,1,2,0,0
2015-01-19,1,4,1,15,1,3,0,0
2015-01-19,1,4,1,15,1,4,1,0
2015-01-19,1,4,1,15,1,5,2,2
2015-01-19,1,4,1,15,1,6,0,0
2015-01-20,2,4,1,15,0,0,0,0
2015-01-20,2,4,1,15,0,1,1,0
2015-01-20,2,4,1,15,0,2,0,0
2015-01-20,2,4,1,15,0,3,0,0
2015-01-20,2,4,1,15,0,4,0,0
2015-01-20,2,4,1,15,0,5,1,0
2015-01-20,2,4,1,15,0,6,0,0
2015-01-20,2,4,1,15,1,0,0,0
2015-01-20,2,4,1,15,1,1,1,0
2015-01-20,2,4,1,15,1,2,0,0
2015-01-20,2,4,1,15,1,3,0,0
2015-01-20,2,4,1,15,1,4,0,0
2015-01-20,2,4,1,15,1,5,0,0
2015-01-20,2,4,1,15,1,6,1,0
2015-01-21,3,4,1,15,0,0,0,0
2015-01-21,3,4,1,15,0,1,0,0
2015-01-21,3,4,1,15,0,2,1,1
2015-01-21,3,4,1,15,0,3,0,0
2015-01-21,3,4,1,15,0,4,0,0
2015-01-21,3,4,1,15,0,5,1,1
2015-01-21,3,4,1,15,0,6,1,0
2015-01-21,3,4,1,15,1,0,0,0
2015-01-21,3,4,1,15,1,1,2,0
2015-01-21,3,4,1,15,1,2,0,0
2015-01-21,3,4,1,15,1,3,0,0
2015-01-21,3,4,1,15,1,4,0,0
2015-01-21,3,4,1,15,1,5,2,0
2015-01-21,3,4,1,15,1,6,0,0
2015-01-22,4,4,1,15,0,0,0,0
2015-01-22,4,4,1,15,0,1,1,1
2015-01-22,4,4,1,15,0,2,0,0
2015-01-22,4,4,1,15,0,3,0,0
2015-01-22,4,4,1,15,0,4,0,0
2015-01-22,4,4,1,15,0,5,0,0
2015-01-22,4,4,1,15,0,6,0,0
2015-01-22,4,4,1,15,1,0,1,1
2015-01-22,4,4,1,15,1,1,0,0
2015-01-22,4,4,1,15,1,2,1,1
2015-01-22,4,4,1,15,1,3,1,1
2015-01-22,4,4,1,15,1,4,1,1
2015-01-22,4,4,1,15,1,5,2,0
2015-01-22,4,4,1,15,1,6,0,0
2015-01-23,5,4,1,15,0,0,0,0
2015-01-23,5,4,1,15,0,1,4,2
2015-01-23,5,4,1,15,0,2,1,1
2015-01-23,5,4,1,15,0,3,1,0
2015-01-23,5,4,1,15,0,4,2,0
2015-01-23,5,4,1,15,0,5,2,0
2015-01-23,5,4,1,15,0,6,1,0
2015-01-23,5,4,1,15,1,0,0,0
2015-01-23,5,4,1,15,1,1,3,3
2015-01-23,5,4,1,15,1,2,3,3
2015-01-23,5,4,1,15,1,3,3,1
2015-01-23,5,4,1,15,1,4,1,0
2015-01-23,5,4,1,15,1,5,2,0
2015-01-23,5,4,1,15,1,6,2,0
2015-01-26,1,5,1,15,0,0,5,0
2015-01-26,1,5,1,15,0,1,12,8
2015-01-26,1,5,1,15,0,2,20,14
2015-01-26,1,5,1,15,0,3,8,0
2015-01-26,1,5,1,15,0,4,5,3
2015-01-26,1,5,1,15,0,5,3,1
2015-01-26,1,5,1,15,0,6,11,6
2015-01-26,1,5,1,15,1,0,3,1
2015-01-26,1,5,1,15,1,1,15,13
2015-01-26,1,5,1,15,1,2,13,11
2015-01-26,1,5,1,15,1,3,17,8
2015-01-26,1,5,1,15,1,4,7,1
2015-01-26,1,5,1,15,1,5,2,0
2015-01-26,1,5,1,15,1,6,7,2
2015-01-27,2,5,1,15,0,0,2,0
2015-01-27,2,5,1,15,0,1,7,5
2015-01-27,2,5,1,15,0,2,15,14
2015-01-27,2,5,1,15,0,3,7,1
2015-01-27,2,5,1,15,0,4,1,0
2015-01-27,2,5,1,15,0,5,0,0
2015-01-27,2,5,1,15,0,6,9,1
2015-01-27,2,5,1,15,1,0,6,2
2015-01-27,2,5,1,15,1,1,14,12
2015-01-27,2,5,1,15,1,2,14,12
2015-01-27,2,5,1,15,1,3,18,9
2015-01-27,2,5,1,15,1,4,4,2
2015-01-27,2,5,1,15,1,5,3,0
2015-01-27,2,5,1,15,1,6,12,3
2015-01-28,3,5,1,15,0,0,0,0
2015-01-28,3,5,1,15,0,1,1,0
2015-01-28,3,5,1,15,0,2,1,1
2015-01-28,3,5,1,15,0,3,1,0
2015-01-28,3,5,1,15,0,4,0,0
2015-01-28,3,5,1,15,0,5,0,0
2015-01-28,3,5,1,15,0,6,2,0
2015-01-28,3,5,1,15,1,0,1,0
2015-01-28,3,5,1,15,1,1,1,1
2015-01-28,3,5,1,15,1,2,1,1
2015-01-28,3,5,1,15,1,3,0,0
2015-01-28,3,5,1,15,1,4,0,0
2015-01-28,3,5,1,15,1,5,0,0
2015-01-28,3,5,1,15,1,6,0,0
2015-01-29,4,5,1,15,0,0,0,0
2015-01-29,4,5,1,15,0,1,0,0
2015-01-29,4,5,1,15,0,2,0,0
2015-01-29,4,5,1,15,0,3,0,0
2015-01-29,4,5,1,15,0,4,0,0
2015-01-29,4,5,1,15,0,5,1,0
2015-01-29,4,5,1,15,0,6,0,0
2015-01-29,4,5,1,15,1,0,0,0
2015-01-29,4,5,1,15,1,1,0,0
2015-01-29,4,5,1,15,1,2,0,0
2015-01-29,4,5,1,15,1,3,0,0
2015-01-29,4,5,1,15,1,4,1,0
2015-01-29,4,5,1,15,1,5,2,0
2015-01-29,4,5,1,15,1,6,0,0
2015-01-30,5,5,1,15,0,0,0,0
2015-01-30,5,5,1,15,0,1,2,2
2015-01-30,5,5,1,15,0,2,3,0
2015-01-30,5,5,1,15,0,3,2,0
2015-01-30,5,5,1,15,0,4,0,0
2015-01-30,5,5,1,15,0,5,2,0
2015-01-30,5,5,1,15,0,6,3,2
2015-01-30,5,5,1,15,1,0,0,0
2015-01-30,5,5,1,15,1,1,3,1
2015-01-30,5,5,1,15,1,2,2,1
2015-01-30,5,5,1,15,1,3,0,0
2015-01-30,5,5,1,15,1,4,1,1
2015-01-30,5,5,1,15,1,5,1,0
2015-01-30,5,5,1,15,1,6,0,0
2015-02-02,1,6,2,15,0,0,6,3
2015-02-02,1,6,2,15,0,1,12,9
2015-02-02,1,6,2,15,0,2,13,10
2015-02-02,1,6,2,15,0,3,6,2
2015-02-02,1,6,2,15,0,4,5,2
2015-02-02,1,6,2,15,0,5,1,0
2015-02-02,1,6,2,15,0,6,3,2
2015-02-02,1,6,2,15,1,0,8,4
2015-02-02,1,6,2,15,1,1,14,10
2015-02-02,1,6,2,15,1,2,17,14
2015-02-02,1,6,2,15,1,3,26,17
2015-02-02,1,6,2,15,1,4,8,1
2015-02-02,1,6,2,15,1,5,10,3
2015-02-02,1,6,2,15,1,6,9,1
2015-02-03,2,6,2,15,0,0,4,2
2015-02-03,2,6,2,15,0,1,9,6
2015-02-03,2,6,2,15,0,2,4,3
2015-02-03,2,6,2,15,0,3,7,1
2015-02-03,2,6,2,15,0,4,1,0
2015-02-03,2,6,2,15,0,5,2,0
2015-02-03,2,6,2,15,0,6,3,2
2015-02-03,2,6,2,15,1,0,4,1
2015-02-03,2,6,2,15,1,1,7,5
2015-02-03,2,6,2,15,1,2,8,6
2015-02-03,2,6,2,15,1,3,13,8
2015-02-03,2,6,2,15,1,4,2,1
2015-02-03,2,6,2,15,1,5,3,1
2015-02-03,2,6,2,15,1,6,8,1
2015-02-04,3,6,2,15,0,0,1,0
2015-02-04,3,6,2,15,0,1,19,14
2015-02-04,3,6,2,15,0,2,12,8
2015-02-04,3,6,2,15,0,3,4,1
2015-02-04,3,6,2,15,0,4,2,1
2015-02-04,3,6,2,15,0,5,1,0
2015-02-04,3,6,2,15,0,6,9,4
2015-02-04,3,6,2,15,1,0,13,6
2015-02-04,3,6,2,15,1,1,17,10
2015-02-04,3,6,2,15,1,2,12,8
2015-02-04,3,6,2,15,1,3,25,16
2015-02-04,3,6,2,15,1,4,5,3
2015-02-04,3,6,2,15,1,5,2,1
2015-02-04,3,6,2,15,1,6,19,5
2015-02-05,4,6,2,15,0,0,6,0
2015-02-05,4,6,2,15,0,1,13,9
2015-02-05,4,6,2,15,0,2,12,5
2015-02-05,4,6,2,15,0,3,5,0
2015-02-05,4,6,2,15,0,4,4,2
2015-02-05,4,6,2,15,0,5,1,0
2015-02-05,4,6,2,15,0,6,8,1
2015-02-05,4,6,2,15,1,0,6,1
2015-02-05,4,6,2,15,1,1,16,10
2015-02-05,4,6,2,15,1,2,22,18
2015-02-05,4,6,2,15,1,3,27,12
2015-02-05,4,6,2,15,1,4,9,3
2015-02-05,4,6,2,15,1,5,1,0
2015-02-05,4,6,2,15,1,6,16,6
2015-02-06,5,6,2,15,0,0,7,2
2015-02-06,5,6,2,15,0,1,18,10
2015-02-06,5,6,2,15,0,2,8,3
2015-02-06,5,6,2,15,0,3,7,2
2015-02-06,5,6,2,15,0,4,4,1
2015-02-06,5,6,2,15,0,5,3,1
2015-02-06,5,6,2,15,0,6,5,1
2015-02-06,5,6,2,15,1,0,3,1
2015-02-06,5,6,2,15,1,1,16,10
2015-02-06,5,6,2,15,1,2,16,16
2015-02-06,5,6,2,15,1,3,26,15
2015-02-06,5,6,2,15,1,4,4,2
2015-02-06,5,6,2,15,1,5,5,1
2015-02-06,5,6,2,15,1,6,13,2
2015-02-09,1,7,2,15,0,0,5,0
2015-02-09,1,7,2,15,0,1,12,8
2015-02-09,1,7,2,15,0,2,13,12
2015-02-09,1,7,2,15,0,3,7,1
2015-02-09,1,7,2,15,0,4,7,4
2015-02-09,1,7,2,15,0,5,1,0
2015-02-09,1,7,2,15,0,6,10,3
2015-02-09,1,7,2,15,1,0,8,2
2015-02-09,1,7,2,15,1,1,29,19
2015-02-09,1,7,2,15,1,2,16,14
2015-02-09,1,7,2,15,1,3,28,15
2015-02-09,1,7,2,15,1,4,6,4
2015-02-09,1,7,2,15,1,5,3,0
2015-02-09,1,7,2,15,1,6,6,3
2015-02-10,2,7,2,15,0,0,1,0
2015-02-10,2,7,2,15,0,1,17,16
2015-02-10,2,7,2,15,0,2,11,8
2015-02-10,2,7,2,15,0,3,7,3
2015-02-10,2,7,2,15,0,4,3,2
2015-02-10,2,7,2,15,0,5,1,0
2015-02-10,2,7,2,15,0,6,5,1
2015-02-10,2,7,2,15,1,0,6,3
2015-02-10,2,7,2,15,1,1,17,10
2015-02-10,2,7,2,15,1,2,15,15
2015-02-10,2,7,2,15,1,3,23,11
2015-02-10,2,7,2,15,1,4,5,1
2015-02-10,2,7,2,15,1,5,2,0
2015-02-10,2,7,2,15,1,6,10,2
2015-02-11,3,7,2,15,0,0,4,1
2015-02-11,3,7,2,15,0,1,12,9
2015-02-11,3,7,2,15,0,2,8,6
2015-02-11,3,7,2,15,0,3,9,2
2015-02-11,3,7,2,15,0,4,1,1
2015-02-11,3,7,2,15,0,5,1,0
2015-02-11,3,7,2,15,0,6,13,4
2015-02-11,3,7,2,15,1,0,10,3
2015-02-11,3,7,2,15,1,1,14,11
2015-02-11,3,7,2,15,1,2,10,9
2015-02-11,3,7,2,15,1,3,26,15
2015-02-11,3,7,2,15,1,4,5,1
2015-02-11,3,7,2,15,1,5,5,0
2015-02-11,3,7,2,15,1,6,19,5
2015-02-12,4,7,2,15,0,0,3,1
2015-02-12,4,7,2,15,0,1,10,6
2015-02-12,4,7,2,15,0,2,21,14
2015-02-12,4,7,2,15,0,3,9,1
2015-02-12,4,7,2,15,0,4,1,1
2015-02-12,4,7,2,15,0,5,1,0
2015-02-12,4,7,2,15,0,6,7,1
2015-02-12,4,7,2,15,1,0,9,1
2015-02-12,4,7,2,15,1,1,14,8
2015-02-12,4,7,2,15,1,2,22,14
2015-02-12,4,7,2,15,1,3,8,2
2015-02-12,4,7,2,15,1,4,14,7
2015-02-12,4,7,2,15,1,5,5,2
2015-02-12,4,7,2,15,1,6,10,2
2015-02-13,5,7,2,15,0,0,7,2
2015-02-13,5,7,2,15,0,1,8,5
2015-02-13,5,7,2,15,0,2,6,4
2015-02-13,5,7,2,15,0,3,5,1
2015-02-13,5,7,2,15,0,4,8,2
2015-02-13,5,7,2,15,0,5,2,0
2015-02-13,5,7,2,15,0,6,7,1
2015-02-13,5,7,2,15,1,0,6,1
2015-02-13,5,7,2,15,1,1,11,7
2015-02-13,5,7,2,15,1,2,23,16
2015-02-13,5,7,2,15,1,3,24,8
2015-02-13,5,7,2,15,1,4,2,2
2015-02-13,5,7,2,15,1,5,6,0
2015-02-13,5,7,2,15,1,6,14,7
2015-02-16,1,8,2,15,0,0,8,2
2015-02-16,1,8,2,15,0,1,9,8
2015-02-16,1,8,2,15,0,2,17,14
2015-02-16,1,8,2,15,0,3,5,3
2015-02-16,1,8,2,15,0,4,5,0
2015-02-16,1,8,2,15,0,5,3,1
2015-02-16,1,8,2,15,0,6,2,0
2015-02-16,1,8,2,15,1,0,11,5
2015-02-16,1,8,2,15,1,1,15,12
2015-02-16,1,8,2,15,1,2,19,16
2015-02-16,1,8,2,15,1,3,6,1
2015-02-16,1,8,2,15,1,4,7,4
2015-02-16,1,8,2,15,1,5,5,1
2015-02-16,1,8,2,15,1,6,12,3
2015-02-17,2,8,2,15,0,0,1,1
2015-02-17,2,8,2,15,0,1,10,9
2015-02-17,2,8,2,15,0,2,11,9
2015-02-17,2,8,2,15,0,3,7,2
2015-02-17,2,8,2,15,0,4,3,2
2015-02-17,2,8,2,15,0,5,1,0
2015-02-17,2,8,2,15,0,6,2,0
2015-02-17,2,8,2,15,1,0,4,0
2015-02-17,2,8,2,15,1,1,13,11
2015-02-17,2,8,2,15,1,2,9,9
2015-02-17,2,8,2,15,1,3,11,1
2015-02-17,2,8,2,15,1,4,5,3
2015-02-17,2,8,2,15,1,5,5,0
2015-02-17,2,8,2,15,1,6,16,3
2015-02-18,3,8,2,15,0,0,5,3
2015-02-18,3,8,2,15,0,1,15,9
2015-02-18,3,8,2,15,0,2,9,8
2015-02-18,3,8,2,15,0,3,7,4
2015-02-18,3,8,2,15,0,4,4,1
2015-02-18,3,8,2,15,0,5,1,1
2015-02-18,3,8,2,15,0,6,8,1
2015-02-18,3,8,2,15,1,0,10,3
2015-02-18,3,8,2,15,1,1,14,13
2015-02-18,3,8,2,15,1,2,11,6
2015-02-18,3,8,2,15,1,3,11,4
2015-02-18,3,8,2,15,1,4,0,0
2015-02-18,3,8,2,15,1,5,4,0
2015-02-18,3,8,2,15,1,6,18,3
2015-02-19,4,8,2,15,0,0,6,2
2015-02-19,4,8,2,15,0,1,16,14
2015-02-19,4,8,2,15,0,2,7,5
2015-02-19,4,8,2,15,0,3,2,0
2015-02-19,4,8,2,15,0,4,1,0
2015-02-19,4,8,2,15,0,5,2,1
2015-02-19,4,8,2,15,0,6,4,1
2015-02-19,4,8,2,15,1,0,6,0
2015-02-19,4,8,2,15,1,1,11,8
2015-02-19,4,8,2,15,1,2,11,8
2015-02-19,4,8,2,15,1,3,12,0
2015-02-19,4,8,2,15,1,4,4,1
2015-02-19,4,8,2,15,1,5,3,2
2015-02-19,4,8,2,15,1,6,13,5
2015-02-20,5,8,2,15,0,0,1,1
2015-02-20,5,8,2,15,0,1,6,3
2015-02-20,5,8,2,15,0,2,1,1
2015-02-20,5,8,2,15,0,3,2,0
2015-02-20,5,8,2,15,0,4,0,0
2015-02-20,5,8,2,15,0,5,0,0
2015-02-20,5,8,2,15,0,6,3,1
2015-02-20,5,8,2,15,1,0,6,0
2015-02-20,5,8,2,15,1,1,5,4
2015-02-20,5,8,2,15,1,2,3,3
2015-02-20,5,8,2,15,1,3,2,1
2015-02-20,5,8,2,15,1,4,4,0
2015-02-20,5,8,2,15,1,5,2,1
2015-02-20,5,8,2,15,1,6,1,0
2015-02-23,1,9,2,15,0,0,0,0
2015-02-23,1,9,2,15,0,1,1,1
2015-02-23,1,9,2,15,0,2,0,0
2015-02-23,1,9,2,15,0,3,0,0
2015-02-23,1,9,2,15,0,4,0,0
2015-02-23,1,9,2,15,0,5,2,0
2015-02-23,1,9,2,15,0,6,0,0
2015-02-23,1,9,2,15,1,0,2,1
2015-02-23,1,9,2,15,1,1,2,0
2015-02-23,1,9,2,15,1,2,1,0
2015-02-23,1,9,2,15,1,3,0,0
2015-02-23,1,9,2,15,1,4,0,0
2015-02-23,1,9,2,15,1,5,3,0
2015-02-23,1,9,2,15,1,6,0,0
2015-02-24,2,9,2,15,0,0,0,0
2015-02-24,2,9,2,15,0,1,0,0
2015-02-24,2,9,2,15,0,2,0,0
2015-02-24,2,9,2,15,0,3,0,0
2015-02-24,2,9,2,15,0,4,0,0
2015-02-24,2,9,2,15,0,5,2,1
2015-02-24,2,9,2,15,0,6,0,0
2015-02-24,2,9,2,15,1,0,0,0
2015-02-24,2,9,2,15,1,1,0,0
2015-02-24,2,9,2,15,1,2,0,0
2015-02-24,2,9,2,15,1,3,0,0
2015-02-24,2,9,2,15,1,4,0,0
2015-02-24,2,9,2,15,1,5,1,1
2015-02-24,2,9,2,15,1,6,0,0
2015-02-25,3,9,2,15,0,0,0,0
2015-02-25,3,9,2,15,0,1,1,0
2015-02-25,3,9,2,15,0,2,0,0
2015-02-25,3,9,2,15,0,3,0,0
2015-02-25,3,9,2,15,0,4,0,0
2015-02-25,3,9,2,15,0,5,2,1
2015-02-25,3,9,2,15,0,6,0,0
2015-02-25,3,9,2,15,1,0,0,0
2015-02-25,3,9,2,15,1,1,0,0
2015-02-25,3,9,2,15,1,2,0,0
2015-02-25,3,9,2,15,1,3,1,0
2015-02-25,3,9,2,15,1,4,0,0
2015-02-25,3,9,2,15,1,5,2,0
2015-02-25,3,9,2,15,1,6,0,0
2015-02-26,4,9,2,15,0,0,0,0
2015-02-26,4,9,2,15,0,1,0,0
2015-02-26,4,9,2,15,0,2,0,0
2015-02-26,4,9,2,15,0,3,1,0
2015-02-26,4,9,2,15,0,4,0,0
2015-02-26,4,9,2,15,0,5,2,0
2015-02-26,4,9,2,15,0,6,1,1
2015-02-26,4,9,2,15,1,0,0,0
2015-02-26,4,9,2,15,1,1,1,0
2015-02-26,4,9,2,15,1,2,0,0
2015-02-26,4,9,2,15,1,3,1,0
2015-02-26,4,9,2,15,1,4,1,0
2015-02-26,4,9,2,15,1,5,2,0
2015-02-26,4,9,2,15,1,6,2,0
2015-02-27,5,9,2,15,0,0,0,0
2015-02-27,5,9,2,15,0,1,0,0
2015-02-27,5,9,2,15,0,2,3,3
2015-02-27,5,9,2,15,0,3,0,0
2015-02-27,5,9,2,15,0,4,1,0
2015-02-27,5,9,2,15,0,5,1,0
2015-02-27,5,9,2,15,0,6,0,0
2015-02-27,5,9,2,15,1,0,0,0
2015-02-27,5,9,2,15,1,1,4,1
2015-02-27,5,9,2,15,1,2,1,0
2015-02-27,5,9,2,15,1,3,0,0
2015-02-27,5,9,2,15,1,4,0,0
2015-02-27,5,9,2,15,1,5,2,0
2015-02-27,5,9,2,15,1,6,0,0
2015-03-02,1,10,3,15,0,0,0,0
2015-03-02,1,10,3,15,0,1,0,0
2015-03-02,1,10,3,15,0,2,0,0
2015-03-02,1,10,3,15,0,3,1,0
2015-03-02,1,10,3,15,0,4,1,0
2015-03-02,1,10,3,15,0,5,1,1
2015-03-02,1,10,3,15,0,6,1,0
2015-03-02,1,10,3,15,1,0,0,0
2015-03-02,1,10,3,15,1,1,0,0
2015-03-02,1,10,3,15,1,2,1,1
2015-03-02,1,10,3,15,1,3,0,0
2015-03-02,1,10,3,15,1,4,1,1
2015-03-02,1,10,3,15,1,5,3,1
2015-03-02,1,10,3,15,1,6,0,0
2015-03-03,2,10,3,15,0,0,1,0
2015-03-03,2,10,3,15,0,1,0,0
2015-03-03,2,10,3,15,0,2,1,1
2015-03-03,2,10,3,15,0,3,0,0
2015-03-03,2,10,3,15,0,4,0,0
2015-03-03,2,10,3,15,0,5,0,0
